UTC,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
-12,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,
-11,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,
-10,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,
-9,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,
-8,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,
-7,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,
-6,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,
-5,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,
-4,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,
-3,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,
-2,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,
-1,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,
0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,
1,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,
2,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,
3,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,
4,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,
5,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,
6,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,
7,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,
8,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,
9,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,
10,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,
11,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,
12,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,
