name,longitude,latitude,countryLabel
Tansian university Umunya,6.895186,6.200123,Nigeria
Yenching University,116.305277777,39.989722222,Republic of China
Korea University,127.0325,37.589166666,South Korea
Augustana University,-96.737027777,43.526861111,United States of America
Obong University,7.5672013,4.946340333,Nigeria
Renaissance University (RNU),7.557,6.31,Nigeria
Caritas University,7.569677992,6.503856852,Nigeria
Bakı Avrasiya Akademik Universiteti,49.859692,40.406045,Azerbaijan
Columbia University,-73.961944444,40.8075,United States of America
James Hope University,3.588763057,6.47091803,Nigeria
성균관대학교,126.994166666,37.587222222,South Korea
Πανεπιστήμιο Λευκωσίας,33.314444444,35.165861111,Cyprus
"Mewar International University, Nigeria",7.672617854,8.987401163,Nigeria
University of Southern California,-118.285278,34.021667,United States of America
Yale University,-72.926666666,41.311111111,United States of America
Xi'an International University,108.86883,34.23381,People's Republic of China
واحد تبرىز دانشگاه آزاد اسلامى,46.388108,38.04374,Iran
Redeemer's University,4.4580597,7.680984,Nigeria
"Wellspring University Benin City, Edo State",5.5855,6.281,Nigeria
和光大学,139.473,35.5747,Japan
Chinese Culture University,121.53333333,25.13333333,Taiwan
Samuel Adegboyega University,6.196853014,6.516754109,Nigeria
Uka Tarsadia University,73.133225,21.069027777,India
Covenant University,3.157432,6.669936,Nigeria
Ashland University,-82.3231,40.8617,United States of America
Pacific Bible College,-122.593,45.506,United States of America
Crawford University,3.135877624,6.52882318,Nigeria
崇右影藝科技大學,121.7543363,25.1320759,Taiwan
Universidad de Concepción,-73.0341825,-36.8294765,Chile
숭실대학,126.95627,37.496295,South Korea
Caleb University,3.63903008,6.669481107,Nigeria
Pan-Atlantic University,3.8462184,6.4755735,Nigeria
연세대학교,126.936944444,37.560277777,South Korea
Chosun University,126.933055555,35.142222222,South Korea
Igbenedion University,5.3958046,6.7302189,Nigeria
Amrita Vishwa Vidyapeetham,76.90277778,10.90111111,India
Yakın Doğu Üniversitesi,33.32373,35.22669,Turkish Republic of Northern Cyprus
Clark University,-71.823169,42.250977,United States of America
광주여자전문대학,126.797366,35.163806,South Korea
Coal City University,7.584740826,6.461725339,Nigeria
"Hallmark University, Ijebu-Itele, Ogun State",4.048157208,6.97181166,Nigeria
Benson Idahosa University,5.63333333,6.33333333,Nigeria
Colegio Mayor de Nuestra Señora del Rosario,-74.073465,4.600231,Colombia
Bowen University,4.1889662,7.6236297,Nigeria
Elizade University,5.10749363,7.3673453,Nigeria
African University of Science & Technology,7.42276137,9.001403758,Nigeria
University of Chicago,-87.599722222,41.789722222,United States of America
Valparaiso University,-87.041845,41.463225,United States of America
건양대학교,127.112,36.1822,South Korea
Bells University of Technology,3.18586929,6.682872749,Nigeria
Achievers University,5.583249,7.174188,Nigeria
専修大学,139.753952777,35.696627777,Japan
Precious Cornerstone University,3.948537077,7.387959775,Nigeria
New Haven Restaurant Institute,-73.933229,41.745801,United States of America
성서침례대학원대학교,127.528130555,37.2089,South Korea
Augustine University Ilara,3.98340011,6.58409977,Nigeria
한반도국제대학원대학교,126.960079,37.543037,South Korea
Universidad Católica del Uruguay Dámaso Antonio Larrañaga,-56.15915833,-34.88849444,Uruguay
Princeton University,-74.656111111,40.345277777,United States of America
Colgate University,-75.536388888,42.819444444,United States of America
جامعة البلمند,35.782222222,34.366111111,Lebanon
"Christopher University Mowe, Ogun State",3.4756138,6.8298361,Nigeria
Nigerian Turkish Nile University,7.3965,9.01389,Nigeria
慶應義塾大学,139.742777777,35.649166666,Japan
株式会社サイバー大学,130.42225,33.662778,Japan
강서대학교,126.854777777,37.548361111,South Korea
Hezekiah University,7.14171953,5.76088682,Nigeria
Ahman Pategi University,5.786528005,8.719570182,Nigeria
Babcock University,3.7187,6.894,Nigeria
원광대학교,126.957333,35.969389,South Korea
Landmark University,5.082818,8.122788,Nigeria
Kings University,4.4075556,7.5647529,Nigeria
Leland Stanford Junior University,-122.1688576,37.4282293,United States of America
Novena University,6.205771092,5.754953573,Nigeria
Dartmouth College,-72.288333333,43.703333333,United States of America
Kwararafa University Wukari,9.778722292,7.87803342,Nigeria
Al-Qalam University,7.601555003,12.941773579,Nigeria
"KolaDaisi University Ibadan, Oyo State",3.9112534,7.6252312,Nigeria
Afe Babalola University,5.307051,7.670929,Nigeria
University of Notre Dame Australia,115.743380825,-32.055917859,Australia
American University of Nigeria,12.499648,9.191132,Nigeria
Università degli Studi Internazionali di Roma - UNINT,12.4963,41.8602,Italy
Capitol Technology University,-76.8515,39.0475,United States of America
Ajayi Crowther University,3.948523523,7.849847746,Nigeria
Oberlin College,-82.221666666,41.293055555,United States of America
Western Delta University Oghara,5.6888094,5.9981127,Nigeria
İzmir Ekonomi Üniversitesi,27.044722222,38.388333333,Turkey
Afe Babalola University.,5.301683844,7.601096948,Nigeria
감리교신학대학교,126.962417,37.567361,South Korea
SWPS Uniwersytet Humanistycznospołeczny,21.065888888,52.248416666,Poland
Wesley University of Science and Technology,4.816735598,7.108442038,Nigeria
Libera Università Internazionale degli Studi Sociali Guido Carli,12.493056,41.924444,Italy
숙명여자대학교,126.964649,37.545419,South Korea
University of Notre Dame du Lac,-86.238888888,41.7,United States of America
Cornell University,-76.483055555,42.447222222,United States of America
Ritman University,7.699876,5.1971457,Nigeria
Maranatha university,6.853125377,5.713057984,Nigeria
New York University,-73.995,40.73,United States of America
Wszechnica Polska Szkoła Wyższa w Warszawie,21.015,52.2714,Poland
Harvard University,-71.116943888,42.374443888,United States of America
American University of Beirut,35.482283333,33.899963888,Lebanon
Godfrey Okoye University,7.53216,6.4719,Nigeria
Adamas University,88.456591,22.738303,India
Akademi Kebidanan 'Aisyiyah Yogyakarta,110.3751963,-7.7690244,Indonesia
Gregory University,7.418922738,5.831556932,Nigeria
William Marsh Rice University,-95.402777777,29.716944444,United States of America
New School,-73.99704,40.73534,United States of America
Clifford university,7.315058,5.295705,Nigeria
Crescent University,3.321250313,7.161464336,Nigeria
Nile university of Nigeria,7.397239,9.014035,Nigeria
Fountain University,4.546475694,7.743824059,Nigeria
한국성서대학교,127.064341,37.648991,South Korea
Banja Luka College - Fakultet za medije i komunikaciju,17.188611111,44.761944444,Bosnia and Herzegovina
Chrisland University,3.40324,7.1397901,Nigeria
Bingham University,7.700159807,8.956658261,Nigeria
University of Dallas,-96.9258,32.8451,United States of America
الجامعة الإسلامية في لبنان,35.47493,33.78167,Lebanon
"University of Engineering & Management (UEM), Jaipur",75.701416666,27.21325,India
Carnegie Mellon University,-79.943333333,40.4425,United States of America
Paul University,7.066149276,6.199168536,Nigeria
高崎経済大学,138.977555,36.345316,Japan
Новосибірський електротехнічний інститут,82.904,54.988,Russia
Università degli Studi di Salerno,14.790555555,40.771111111,Italy
Canterbury Agricultural College,172.468611111,-43.644444444,New Zealand
Universidad Nacional de Rosario,-60.65,-32.94277778,Argentina
Криворожский государственный педагогический институт,33.411869,47.907377,Ukraine
Universiteit van die Vrystaat,26.1752,-29.1044,South Africa
Универзитет „Св. Кирил и Методиј“,21.4434,42.0004,North Macedonia
Orta Doğu Teknik Üniversitesi,32.784722222,39.891388888,Turkey
Erasmus Universiteit Rotterdam,4.525830555,51.918061111,Netherlands
"University of California, Santa Barbara",-119.8463925,34.4163232,United States of America
Edith Cowan University,115.653387813,-33.367082569,Australia
Nigeria Police Academy,8.802967028,11.821437532,Nigeria
Уральский государственный технический университет,60.654283,56.844053,Russia
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,10.10719,53.56785,Germany
Università degli Studi della Basilicata,15.8085,40.6471,Italy
Universidad Pública de Navarra,-1.636944444,42.800555555,Spain
Athabasca University,-113.303386111,54.722397222,Canada
Universität Freiburg,7.151738888,46.80625,Switzerland
Universitatea de Stat „Alecu Russo” din Bălți,27.92166111,47.75486667,Moldova
Иркутский государственный медицинский институт,104.2816667,52.27361112,Russia
Abubakar Tafawa Balewa University,9.8453553,10.3297704,Nigeria
Technische Universität Hamburg,9.969505555,53.460958333,Germany
Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,9.185833,48.778611,Germany
Friedrich-Schiller-Universität Jena,11.582222222,50.928333333,Germany
Евразийский лингвистический институт,104.278611,52.288611,Russia
