university,country,utc,QOL_Index,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Tansian university Umunya,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
Korea University,South Korea,9,125.04,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4
Augustana University,United States of America,-6,170.72,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2
Obong University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
Renaissance University (RNU),Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
Caritas University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
Bakı Avrasiya Akademik Universiteti,Azerbaijan,4,104.1,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2
Columbia University,United States of America,-5,170.72,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0
James Hope University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
성균관대학교,South Korea,9,125.04,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4
Πανεπιστήμιο Λευκωσίας,Cyprus,2,147.1,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0
"Mewar International University, Nigeria",Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
University of Southern California,United States of America,-8,170.72,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2
Yale University,United States of America,-5,170.72,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0
Xi'an International University,People's Republic of China,8,105.07,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4
Redeemer's University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
"Wellspring University Benin City, Edo State",Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
和光大学,Japan,9,169.48,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4
Chinese Culture University,Taiwan,8,140.15,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4
Samuel Adegboyega University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
Covenant University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
Ashland University,United States of America,-5,170.72,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0
Pacific Bible College,United States of America,-8,170.72,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2
Crawford University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
崇右影藝科技大學,Taiwan,8,140.15,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4
Universidad de Concepción,Chile,-3,100.15,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0
숭실대학,South Korea,9,125.04,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4
Caleb University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
Pan-Atlantic University,Nigeria,1,52.44,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,0,0
연세대학교,South Korea,9,125.04,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4
Chosun University,South Korea,9,125.04,4,4,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4
