item,name,location,country,countryLabel
http://www.wikidata.org/entity/Q16953056,Tansian university Umunya,Point(6.895186 6.200123),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1760244,Yenching University,Point(116.305277777 39.989722222),http://www.wikidata.org/entity/Q13426199,Republic of China
http://www.wikidata.org/entity/Q39997,Korea University,Point(127.0325 37.589166666),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q3298397,Augustana University,Point(-96.737027777 43.526861111),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7075280,Obong University,Point(7.5672013 4.946340333),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q7312455,Renaissance University (RNU),Point(7.557 6.31),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1771027,Caritas University,Point(7.569677992 6.503856852),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q16413654,Bakı Avrasiya Akademik Universiteti,Point(49.859692 40.406045),http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q16413654,Bakü Avrasya Akademik Üniversitesi,Point(49.859692 40.406045),http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q16413654,Baku Eurasian Academic University,Point(49.859692 40.406045),http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q49088,Columbia University,Point(-73.961944444 40.8075),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q107724156,James Hope University,Point(3.588763057 6.47091803),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q41085,성균관대학교,Point(126.994166666 37.587222222),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q338645,Πανεπιστήμιο Λευκωσίας,Point(33.314444444 35.165861111),http://www.wikidata.org/entity/Q229,Cyprus
http://www.wikidata.org/entity/Q107970783,"Mewar International University, Nigeria",Point(7.672617854 8.987401163),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q4614,University of Southern California,Point(-118.285278 34.021667),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q49112,Yale University,Point(-72.926666666 41.311111111),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q15927225,Xi'an International University,Point(108.86883 34.23381),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q5963198,واحد تبرىز دانشگاه آزاد اسلامى,Point(46.388108 38.04374),http://www.wikidata.org/entity/Q794,Iran
http://www.wikidata.org/entity/Q7305700,Redeemer's University,Point(4.4580597 7.680984),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q23058508,"Wellspring University Benin City, Edo State",Point(5.5855 6.281),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q6129517,和光大学,Point(139.473 35.5747),http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q707140,Chinese Culture University,Point(121.53333333 25.13333333),http://www.wikidata.org/entity/Q865,Taiwan
http://www.wikidata.org/entity/Q7410732,Samuel Adegboyega University,Point(6.196853014 6.516754109),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q14957054,Uka Tarsadia University,Point(73.133225 21.069027777),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q742241,Covenant University,Point(3.157432 6.669936),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q986122,Ashland University,Point(-82.3231 40.8617),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q7969745,Pacific Bible College,Point(-122.593 45.506),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q14957054,ઉકા તરસાડીયા યુનિવર્સિટી,Point(73.133225 21.069027777),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q5182920,Crawford University,Point(3.135877624 6.52882318),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q11052708,崇右影藝科技大學,Point(121.7543363 25.1320759),http://www.wikidata.org/entity/Q865,Taiwan
