item,name,location,country,countryLabel
http://www.wikidata.org/entity/Q1329478,České vysoké učení technické v Praze,Point(14.388472222 50.102166666),http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q4407708,Ленинградский электротехнический институт им. В. И. Ульянова (Ленина),Point(30.32007 59.97113),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407708,Петроградский электротехнический институт имени В. И. Ульянова (Ленина),Point(30.32007 59.97113),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q3135719,Горный институт в городе Екатеринбург,Point(60.59766 56.82569),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q3135719,Свердловский горный институт,Point(60.59766 56.82569),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q3135719,Свердловский горный институт имени В. В. Вахрушева,Point(60.59766 56.82569),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q3135719,Уральская государственная горно-геологическая академия,Point(60.59766 56.82569),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q3135719,Уральский горный институт,Point(60.59766 56.82569),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q3135719,Уральский горный институт Императора Николая II,Point(60.59766 56.82569),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q3135719,Уральский государственный горный университет,Point(60.59766 56.82569),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q605825,Воронежский государственный лесотехнический университет имени Г. Ф. Морозова,Point(39.2213 51.7185),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q623817,한국전통문화대학교,Point(126.897 36.308),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q623817,한국전통문화학교,Point(126.897 36.308),http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q4210420,Калужский государственный университет имени К. Э. Циолковского,Point(36.273888888 54.508888888),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1279835,Cartoonists and Illustrators School,Point(-73.98222222 40.73861111),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q3551555,Ленинградский инженерно-экономический институт,Point(30.00000001 59.00000001),http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q4407708,Санкт-Петербургский государственный электротехнический институт им. В. И. Ульянова (Ленина),Point(30.32007 59.97113),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407708,Санкт-Петербургский государственный электротехнический университет им. В. И. Ульянова (Ленина),Point(30.32007 59.97113),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1061981,津田塾大学,Point(139.46583 35.72194),http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q1287034,Magyar Testnevelési és Sporttudományi Egyetem,Point(19.025555555 47.492777777),http://www.wikidata.org/entity/Q28,Hungary
http://www.wikidata.org/entity/Q4166081,Краматорскі індустрыяльны інстытут,Point(37.579 48.733),http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q4407708,Техническое училище Почтово-телеграфного ведомства,Point(30.32007 59.97113),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q761534,University of Georgia,Point(-83.3745 33.9558),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q4407708,Электротехнический институт,Point(30.32007 59.97113),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4407708,Электротехнический институт Императора Александра III,Point(30.32007 59.97113),http://www.wikidata.org/entity/Q159,Russia
